kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered
control,1687651684449,,,30531.3,,30531.3,80.0,28.3253,-91.236,0.083826,15.7332,20,10260801.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652039079,,,30566.5,,30566.5,75.0,16.7768,-102.6468,0.079653,4.0181,20,10227987.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652259779,,,30583.4,,30583.4,85.0,11.2417,-108.116,0.093718,-1.5474,20,10236314.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652632527,,,30502.1,,30502.1,60.0,37.9255,-81.7503,0.071343,24.9206,20,10291434.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652920842,,,30486.1,,30486.1,65.0,43.1937,-76.5449,0.074883,30.0496,20,10315297.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687654545962,,,30511.3,,30511.3,85.0,34.8988,-84.7409,0.086177,21.7168,20,10067248.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687655639669,,,30572.4,,30572.4,85.0,14.8437,-104.5569,0.085595,2.3727,20,9824110.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,95.0,-4.5114,-123.6812,0.098963,-16.717,20,9828961.0,2023-06-25,,,,,,,,,16.717,4.5114,,,,,,,0
liq,1687656473356,BUY,43.0,30631.6,30631.6,30631.6,95.0,-4.5114,-123.6812,0.098979,-16.7168,20,9829139.0,2023-06-25,,,,,,,,,16.7168,4.5114,,,,,,,0
control,1687657803942,,,30615.9,,30615.9,95.0,0.6143,-118.6166,0.113428,-10.7082,20,9739449.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687657826301,,,30615.9,,30615.9,95.0,0.6143,-118.6166,0.113447,-10.7052,20,9737858.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687657982367,,,30620.0,,30620.0,95.0,-0.7247,-119.9397,0.113758,-12.0259,20,9725297.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687658603894,,,30622.3,,30622.3,95.0,-1.4758,-120.6818,0.112866,-12.78,20,9610033.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,90.0,4.7766,-134.2454,0.100801,-26.4873,20,9565983.0,2023-06-25,,,,,,,,,26.4873,-4.7766,,,,,,,0
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,90.0,2.0041,-136.9794,0.098187,-29.3429,20,9554495.0,2023-06-25,,,,,,,,,29.3429,-2.0041,,,,,,,0
control,1687661436870,,,30656.8,,30656.8,85.0,7.2568,47.3459,0.091622,-25.5206,20,9365838.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687661545042,,,30656.7,,30656.7,85.0,7.2894,47.3787,0.091836,-25.5185,20,9361324.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687661604304,,,30659.3,,30659.3,85.0,6.4408,46.5266,0.092131,-26.3759,20,9360430.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,60.0,-8.3873,31.6392,0.069751,-41.8438,20,9279273.0,2023-06-25,,,,,,,,,41.8438,8.3873,,,,,,,0
liq,1687663686420,BUY,3.0,30711.0,30711.0,30710.8,65.0,-10.4044,29.6139,0.072579,-44.2969,20,9231385.0,2023-06-25,,,,,,,,,44.2969,10.4044,,,,,,,0
liq,1687663697070,BUY,148.0,30728.6,30728.6,30728.5,50.0,-16.126,23.8694,0.052841,-49.9719,20,9236589.0,2023-06-25,,,,,,,,,49.9719,16.126,,,,,,,0
control,1687664037004,,,30728.3,,30728.3,50.0,-16.0285,23.9673,0.054906,-49.8773,20,9244454.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687665095016,BUY,3.0,30755.0,30755.0,30755.0,50.0,-24.6961,15.265,0.053842,-58.5949,20,9238435.0,2023-06-25,,,,,,,,,58.5949,24.6961,,,,,,,0
liq,1687665128467,BUY,19.0,30770.0,30770.0,30770.0,20.0,-29.559,10.3826,0.015656,-63.3976,20,9245184.0,2023-06-25,,,,,,,,,63.3976,29.559,,,,,,,0
liq,1687665746391,BUY,2.0,30788.3,30788.3,30788.3,5.0,-35.4852,4.4327,0.002944,-69.1143,20,9268017.0,2023-06-25,,,,,,,,,69.1143,35.4852,,,,,,,0
liq,1687665797009,BUY,10.0,30857.1,30857.1,30857.1,0.0,-57.7024,2.1007,0.000547,-90.8332,22,9315547.0,2023-06-25,,,,,,,,,90.8332,57.7024,,,,,,,0
liq,1687665826333,BUY,193.0,30862.9,30862.9,30862.8,4.5455,-59.5709,0.221,0.002525,-92.5185,22,9332767.0,2023-06-25,,,,,,,,,92.5185,59.5709,,,,,,,0
liq,1687665850273,BUY,1.0,30880.0,30880.0,30879.9,0.0,-65.0754,4.678,3e-06,-97.9552,23,9335106.0,2023-06-25,,,,,,,,,97.9552,65.0754,,,,,,,0
liq,1687665853193,BUY,11.0,30886.6,30886.6,30886.6,0.0,-67.1984,2.5402,0.000153,-100.0559,23,9336486.0,2023-06-25,,,,,,,,,100.0559,67.1984,,,,,,,0
liq,1687666294629,BUY,2.0,30894.7,30894.7,30894.6,4.3478,-69.8026,-0.0823,0.001054,-101.8824,23,9392257.0,2023-06-25,,,,,,,,,101.8824,69.8026,,,,,,,0
liq,1687666606879,BUY,2.0,30933.0,30933.0,30932.9,4.1667,-82.0978,-2.4763,0.001875,-113.0032,24,9489496.0,2023-06-25,,,,,,,,,113.0032,82.0978,,,,,,,0
liq,1687666716470,BUY,80.0,30940.4,30940.4,30940.3,20.0,-84.4698,5.1278,0.005364,-114.9229,25,9524096.0,2023-06-25,,,,,,,,,114.9229,84.4698,,,,,,,0
liq,1687667519039,BUY,5.0,30970.5,30970.5,30970.5,20.0,-94.1066,-54.4236,0.010266,-122.0213,25,9710536.0,2023-06-25,,,,,,,,,122.0213,94.1066,,,,,,,0
liq,1687667520248,BUY,1.0,30970.6,30970.6,30970.4,20.0,-94.1386,-54.4557,0.01052,-122.0231,25,9713029.0,2023-06-25,,,,,,,,,122.0231,94.1386,,,,,,,0
liq,1687667535991,BUY,16.0,30974.3,30974.3,30974.2,0.0,-95.3219,4.1718,0.000103,-123.0862,26,9722533.0,2023-06-25,,,,,,,,,123.0862,95.3219,,,,,,,0
liq,1687667671953,BUY,20.0,30990.1,30990.1,30990.1,7.6923,-100.3717,-0.9288,0.0046,-127.1256,26,9795117.0,2023-06-25,,,,,,,,,127.1256,100.3717,,,,,,,0
liq,1687667792230,BUY,6.0,31036.5,31036.5,31036.4,0.0,-115.1718,4.1007,0.000546,-140.7713,28,9879182.0,2023-06-25,,,,,,,,,140.7713,115.1718,,,,,,,0
liq,1687667793944,BUY,2.0,31035.2,31035.2,31035.7,3.5714,-114.7578,4.5198,0.001324,-140.0749,28,9899409.0,2023-06-25,,,,,,,,,140.0749,114.7578,,,,,,,0
liq,1687668014816,BUY,1.0,31044.7,31044.7,31044.6,14.2857,-117.7827,-78.1945,0.005279,-141.7969,28,9975709.0,2023-06-25,,,,,,,,,141.7969,117.7827,,,,,,,0
liq,1687668800357,SELL,12.0,30880.0,30880.0,30880.0,28.5714,-65.0754,-25.2761,0.015632,-85.5528,28,10290235.0,2023-06-25,,,,,,,,,-85.5528,-65.0754,,,,,,,0
liq,1687670378099,SELL,240.0,30844.5,30844.5,30845.5,17.8571,-53.641,-13.7958,0.006549,-71.772,28,10536991.0,2023-06-25,,,,,,,,,-71.772,-53.641,,,,,,,0
liq,1687670380489,SELL,5.0,30840.0,30840.0,30840.2,17.8571,-52.1897,-12.3387,0.006634,-70.3175,28,10537884.0,2023-06-25,,,,,,,,,-70.3175,-52.1897,,,,,,,0
control,1687671567276,,,30869.8,,30869.8,53.5714,-61.7928,-21.9803,0.031416,-78.7721,28,10665627.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687671669254,,,30888.8,,30888.8,60.7143,-67.9058,-28.1178,0.034154,-84.7891,28,10674859.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687672610823,,,30878.5,,30878.5,53.5714,-64.5928,-24.7916,0.032918,-81.04,28,10695891.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687672990202,SELL,12.0,30808.3,30808.3,30808.3,7.1429,-41.9539,-2.062,0.005577,-58.1974,28,10716183.0,2023-06-25,,,,,,,,,-58.1974,-41.9539,,,,,,,0
liq,1687673308098,SELL,64.0,30775.1,30775.1,30775.1,35.7143,-31.2113,89.0743,0.022455,-46.9782,28,10777541.0,2023-06-25,,,,,,,,,-46.9782,-31.2113,,,,,,,0
liq,1687674331386,BUY,1.0,30932.5,30932.5,30932.3,50.0,-81.9374,37.7361,0.031752,-96.0709,28,10972681.0,2023-06-25,,,,,,,,,96.0709,81.9374,,,,,,,0
liq,1687674459235,BUY,2.0,30985.7,30985.7,30985.6,32.1429,-98.966,20.5021,0.018181,-112.3775,28,11022163.0,2023-06-25,,,,,,,,,112.3775,98.966,,,,,,,0
control,1687674794029,,,30909.3,,30909.3,64.2857,-74.4931,45.2702,0.041744,-87.0386,28,11119991.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687675445765,,,30853.5,,30853.5,57.1429,-56.5424,63.4376,0.038166,-67.9887,28,11245052.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687675830945,,,30856.2,,30856.2,57.1429,-57.4124,62.557,0.040391,-68.4729,28,11282500.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687677610326,SELL,1.0,30765.5,30765.5,30765.6,42.8571,-28.1006,92.2225,0.025933,-38.3335,28,11363735.0,2023-06-25,,,,,,,,,-38.3335,-28.1006,,,,,,,0
liq,1687677644353,SELL,120.0,30737.6,30737.6,30736.6,39.2857,-19.0493,101.383,0.024834,-29.2627,28,11369308.0,2023-06-25,,,,,,,,,-29.2627,-19.0493,,,,,,,0
control,1687678043153,,,30727.8,,30727.8,42.8571,-15.8661,104.6047,0.030141,-25.6237,28,11613722.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687678059142,,,30732.6,,30732.6,42.8571,-17.4255,103.0265,0.030161,-27.1811,28,11613867.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687680256205,,,30725.7,,30725.7,53.5714,-5.1989,105.2953,0.035353,-24.1089,28,11698701.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687681649524,,,30753.6,,30753.6,57.1429,-14.2663,96.1277,0.042638,-32.8082,28,11716938.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687681866275,,,30746.2,,30746.2,60.7143,-11.8629,98.5576,0.043425,-30.3787,28,11717938.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687682629185,SELL,3.0,30676.5,30676.5,30676.5,92.8571,0.8303,121.5025,0.075272,-7.4528,28,11733263.0,2023-06-25,,,,,,,,,-7.4528,0.8303,,,,,,,0
control,1687684097432,,,30699.6,,30699.6,96.4286,3.2984,113.8866,0.083571,-14.5107,28,11788033.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687684974232,SELL,1.0,30638.4,30638.4,30638.4,89.2857,3.2634,-125.8732,0.064894,5.5474,28,11842224.0,2023-06-25,,,,,,,,,5.5474,3.2634,,,,,,,0
liq,1687684990493,SELL,64.0,30623.0,30623.0,30623.0,89.2857,-1.7043,-120.9076,0.066246,10.5553,28,11867819.0,2023-06-25,,,,,,,,,10.5553,-1.7043,,,,,,,0
liq,1687685325309,SELL,319.0,30610.4,30610.4,30610.4,89.2857,2.4112,-116.8412,0.070756,14.6122,28,11943756.0,2023-06-25,,,,,,,,,14.6122,2.4112,,,,,,,0
liq,1687685326504,SELL,2.0,30610.4,30610.4,30610.4,89.2857,2.4112,-116.8412,0.070781,14.6119,28,11944075.0,2023-06-25,,,,,,,,,14.6119,2.4112,,,,,,,0
liq,1687685482890,SELL,7.0,30591.9,30591.9,30589.0,82.1429,8.46,-110.8645,0.058513,20.6195,28,11985614.0,2023-06-25,,,,,,,,,20.6195,8.46,,,,,,,0
liq,1687685483999,SELL,14.0,30596.3,30596.3,30595.1,82.1429,7.0207,-112.2866,0.058549,19.1776,28,11986072.0,2023-06-25,,,,,,,,,19.1776,7.0207,,,,,,,0
control,1687686243315,,,30664.6,,30664.6,92.8571,4.7113,125.4304,0.079171,-3.0516,28,11987071.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687688408162,,,30621.8,,30621.8,89.2857,-1.3125,-120.5205,0.06568,11.1427,28,11944688.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687688939368,,,30627.2,,30627.2,89.2857,-3.0754,-122.2624,0.069094,9.1668,28,11904152.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687689361826,,,30653.3,,30653.3,85.7143,8.3994,129.163,0.066504,0.5153,28,11896770.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687690055580,,,30673.6,,30673.6,96.4286,1.7758,122.4594,0.083751,-6.2366,28,11890656.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687690216472,,,30661.3,,30661.3,85.7143,5.7881,126.5201,0.070486,-2.2607,28,11888918.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687690548773,,,30647.7,,30647.7,89.2857,0.228,-128.8695,0.07131,2.1489,28,11887885.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687690972288,,,30625.2,,30625.2,89.2857,-2.4226,-121.6173,0.072142,9.4404,28,11891086.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687691027117,,,30602.8,,30602.8,89.2857,4.8953,-114.3867,0.072698,16.735,28,11886607.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687692241638,,,30645.0,,30645.0,85.7143,-8.8821,-127.9998,0.074859,2.75,28,11891316.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687692442040,,,30619.3,,30619.3,92.8571,-0.4961,-119.7139,0.076854,11.106,28,11879179.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687694155747,,,30650.1,,30650.1,92.8571,-0.5551,-129.6425,0.077526,0.9502,28,11874491.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687695368206,,,30706.1,,30706.1,96.4286,1.1809,111.7456,0.087163,-17.0687,28,11977485.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687699109839,,,30629.8,,30629.8,96.4286,-3.924,-123.1009,0.085229,6.9592,28,11917263.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687699622275,SELL,46.0,30537.3,30537.3,30537.3,75.0,26.3549,-93.1829,0.056259,37.0854,28,11978080.0,2023-06-25,,,,,,,,,37.0854,26.3549,,,,,,,0
liq,1687700201143,SELL,79.0,30520.4,30520.4,30520.4,75.0,31.9068,-87.6972,0.058004,42.2794,28,12078579.0,2023-06-25,,,,,,,,,42.2794,31.9068,,,,,,,0
control,1687703868907,,,30701.5,,30701.5,96.4286,2.6794,113.2606,0.084888,-16.7853,28,12170593.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687705323149,SELL,176.0,30482.5,30482.5,30482.6,71.4286,44.3798,-75.3729,0.056619,54.1691,28,12461345.0,2023-06-25,,,,,,,,,54.1691,44.3798,,,,,,,0
liq,1687705360886,SELL,12.0,30480.8,30480.8,30480.9,71.4286,44.94,-74.8194,0.060101,54.3641,28,12550068.0,2023-06-25,,,,,,,,,54.3641,44.94,,,,,,,0
liq,1687705363326,SELL,48.0,30466.0,30466.0,30466.1,67.8571,49.8197,-69.9979,0.043233,59.2084,28,12558516.0,2023-06-25,,,,,,,,,59.2084,49.8197,,,,,,,0
liq,1687705364437,SELL,375.0,30477.2,30477.2,30476.8,67.8571,46.1266,-73.647,0.043545,55.4923,28,12562622.0,2023-06-25,,,,,,,,,55.4923,46.1266,,,,,,,0
control,1687705716985,,,30540.8,,30540.8,75.0,5.1855,-94.3182,0.066085,34.1272,28,12683803.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687706143423,BUY,10.0,30628.2,30628.2,30628.2,96.4286,-3.4018,-122.5849,0.078178,5.3197,28,12746839.0,2023-06-25,,,,,,,,,-5.3197,3.4018,,,,,,,0
control,1687708095265,,,30595.5,,30595.5,92.5926,-2.7149,-102.1401,0.085771,22.0888,27,11841721.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687708858486,,,30587.9,,30587.9,92.5926,-0.2309,-99.6808,0.089604,26.3351,27,11660657.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687709294479,BUY,1.0,30652.3,30652.3,30652.2,78.2609,-11.2615,-80.9038,0.081643,8.8783,23,11315512.0,2023-06-25,,,,,,,,,-8.8783,11.2615,,,,,,,0
control,1687710422844,,,30522.3,,30522.3,72.7273,11.2498,-28.6953,0.081365,52.8631,22,11199872.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687712341179,,,30607.1,,30607.1,90.9091,3.4897,-56.3218,0.099317,25.6215,22,11183748.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687713120918,,,30612.6,,30612.6,95.4545,1.6924,-58.1083,0.0994,24.295,22,11024839.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687713697905,,,30612.7,,30612.7,95.4545,1.6597,-58.1408,0.102173,24.4561,22,10983275.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687714609436,,,30581.1,,30581.1,90.9091,1.9926,-47.8677,0.097111,34.9551,22,10926492.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687715107083,SELL,30.0,30500.0,30500.0,30500.0,63.6364,18.5695,-21.4048,0.048174,61.4676,22,10968244.0,2023-06-25,,,,,,,,,61.4676,18.5695,,,,,,,0
control,1687715715208,,,30534.7,,30534.7,77.2727,7.1843,-32.7446,0.089866,49.7721,22,11021181.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687716192074,SELL,2.0,30481.6,30481.6,30481.9,63.6364,14.6025,-15.3813,0.051451,67.3573,22,10930041.0,2023-06-25,,,,,,,,,67.3573,14.6025,,,,,,,0
liq,1687716309490,SELL,10.0,30442.4,30442.4,30442.4,4.5455,27.4981,-2.5243,0.002757,80.0953,22,10950738.0,2023-06-25,,,,,,,,,80.0953,27.4981,,,,,,,0
liq,1687716310513,SELL,33.0,30450.3,30450.3,30450.3,18.1818,24.8966,-5.118,0.013395,77.4155,22,10959342.0,2023-06-25,,,,,,,,,77.4155,24.8966,,,,,,,0
liq,1687716637676,SELL,1.0,30437.0,30437.0,30437.0,4.5455,29.2772,-0.7506,0.004592,81.3692,22,10998323.0,2023-06-25,,,,,,,,,81.3692,29.2772,,,,,,,0
liq,1687716653427,SELL,2.0,30391.0,30391.0,30391.0,4.3478,44.4575,4.3799,0.00337,96.2154,23,11046912.0,2023-06-25,,,,,,,,,96.2154,44.4575,,,,,,,0
liq,1687716654878,SELL,8.0,30401.6,30401.6,30401.5,4.3478,40.9554,0.8918,0.003856,92.6504,23,11052298.0,2023-06-25,,,,,,,,,92.6504,40.9554,,,,,,,0
liq,1687716670102,SELL,171.0,30375.1,30375.1,30378.8,8.6957,49.7154,-0.3828,0.005918,100.7305,23,11135110.0,2023-06-25,,,,,,,,,100.7305,49.7154,,,,,,,0
liq,1687716688445,SELL,24.0,30360.0,30360.0,30360.1,13.0435,54.7137,14.5952,0.007556,105.5405,23,11159221.0,2023-06-25,,,,,,,,,105.5405,54.7137,,,,,,,0
liq,1687716706596,SELL,2.0,30361.5,30361.5,30361.5,17.3913,54.217,14.1005,0.009614,104.8136,23,11184668.0,2023-06-25,,,,,,,,,104.8136,54.217,,,,,,,0
liq,1687716790204,SELL,1933.0,30351.2,30351.2,30353.2,0.0,57.629,-2.5061,9.7e-05,107.8292,24,11221670.0,2023-06-25,,,,,,,,,107.8292,57.629,,,,,,,0
liq,1687716791951,SELL,3.0,30348.7,30348.7,30348.8,0.0,58.4575,-1.6826,0.000806,108.5835,24,11229631.0,2023-06-25,,,,,,,,,108.5835,58.4575,,,,,,,0
liq,1687717887420,SELL,16.0,30355.3,30355.3,30355.4,0.0,56.2705,-3.8565,0.002476,104.0815,24,11372843.0,2023-06-25,,,,,,,,,104.0815,56.2705,,,,,,,0
liq,1687717893373,SELL,3050.0,30344.1,30344.1,30342.0,0.0,59.9823,-0.1669,0.002865,107.7692,24,11376714.0,2023-06-25,,,,,,,,,107.7692,59.9823,,,,,,,0
liq,1687717895108,SELL,1.0,30341.6,30341.6,30341.7,0.0,60.8112,0.657,0.003072,108.5797,24,11379010.0,2023-06-25,,,,,,,,,108.5797,60.8112,,,,,,,0
control,1687719168123,,,30454.9,,30454.9,33.3333,23.3824,-36.548,0.022661,69.5574,24,11486781.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687719474281,,,30462.8,,30462.8,37.5,20.783,-39.1318,0.024435,66.8273,24,11481644.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687720484350,,,30403.3,,30403.3,25.0,40.3939,-19.6381,0.019147,85.9683,24,11493154.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687722214258,,,30386.9,,30386.9,41.6667,45.8128,-14.2517,0.029671,90.0153,24,11604760.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687722821036,,,30394.2,,30394.2,29.1667,43.4,-16.65,0.025103,87.1203,24,11615952.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687723563231,BUY,3.0,30485.2,30485.2,30485.1,66.6667,13.4199,-46.4509,0.04935,56.5552,24,11668965.0,2023-06-25,,,,,,,,,-56.5552,-13.4199,,,,,,,0
control,1687724538407,,,30495.3,,30495.3,66.6667,10.1035,-49.7475,0.054821,52.7183,24,11759915.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687725161473,,,30480.3,,30480.3,33.3333,15.0297,-44.8507,0.027003,57.4859,24,11784946.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687725241609,,,30488.8,,30488.8,75.0,12.2376,-47.6262,0.059481,54.6578,24,11786763.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687726358082,SELL,1.0,30376.8,30376.8,30376.7,45.8333,49.1529,-10.9315,0.035024,91.4015,24,11796058.0,2023-06-25,,,,,,,,,91.4015,49.1529,,,,,,,0
liq,1687726409227,SELL,9.0,30370.3,30370.3,30370.3,45.8333,51.3037,-8.7936,0.035297,93.5442,24,11796311.0,2023-06-25,,,,,,,,,93.5442,51.3037,,,,,,,0
liq,1687726466341,SELL,1.0,30350.0,30350.0,30350.6,4.1667,58.0267,-2.1108,0.006117,100.2008,24,11808081.0,2023-06-25,,,,,,,,,100.2008,58.0267,,,,,,,0
liq,1687726484438,SELL,7.0,30305.4,30305.4,30305.4,0.0,72.8289,2.6003,0.000966,114.911,25,11824538.0,2023-06-25,,,,,,,,,114.911,72.8289,,,,,,,0
liq,1687726486289,SELL,1.0,30304.4,30304.4,30304.4,0.0,73.1613,2.9304,0.001756,115.1561,25,11833887.0,2023-06-25,,,,,,,,,115.1561,73.1613,,,,,,,0
liq,1687726487792,SELL,12.0,30316.8,30316.8,30316.7,0.0,69.0412,-1.161,0.002243,110.964,25,11839670.0,2023-06-25,,,,,,,,,110.964,69.0412,,,,,,,0
liq,1687726505450,SELL,1.0,30281.5,30281.5,30281.4,0.0,80.779,0.4945,0.0014,122.3849,26,11871636.0,2023-06-25,,,,,,,,,122.3849,80.779,,,,,,,0
liq,1687726508223,SELL,95.0,30289.6,30289.6,30289.6,0.0,78.0832,-2.1799,0.001762,119.6339,26,11875935.0,2023-06-25,,,,,,,,,119.6339,78.0832,,,,,,,0
control,1687727052603,,,30376.9,,30376.9,53.8462,49.1199,-20.9434,0.038983,90.2031,26,11875906.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687728284749,,,30425.5,,30425.5,38.4615,33.068,-36.8834,0.029436,74.575,26,11737720.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687728560830,,,30470.5,,30470.5,34.6154,18.2507,-51.5974,0.024468,59.5302,26,11761855.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687730188999,,,30447.5,,30447.5,46.1538,35.8443,-44.0823,0.03462,66.9732,26,11748536.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687731626027,,,30518.9,,30518.9,80.7692,12.3651,-67.3745,0.068342,42.3111,26,11907102.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687732427835,BUY,1.0,30563.5,30563.5,30563.3,96.1538,-2.2455,-81.8688,0.08385,27.7153,26,11892870.0,2023-06-25,,,,,,,,,-27.7153,2.2455,,,,,,,0
control,1687733574643,,,30518.8,,30518.8,80.7692,12.3979,-67.342,0.069334,42.4676,26,11890114.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687733879249,,,30510.3,,30510.3,69.2308,15.1873,-64.5748,0.051589,45.2944,26,11880990.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687734372779,,,30494.4,,30494.4,69.2308,20.4093,-59.3944,0.055937,50.3529,26,11905564.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687735456106,,,30446.4,,30446.4,57.6923,36.2069,-43.7226,0.041852,66.1601,26,11873404.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687736214659,,,30440.9,,30440.9,61.5385,38.0202,-41.9238,0.043642,67.8703,26,11867479.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687736547287,,,30450.0,,30450.0,42.3077,35.0204,-44.8997,0.036572,64.8435,26,11864731.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687736792037,,,30453.2,,30453.2,42.3077,33.9659,-45.9458,0.036894,63.7458,26,11864178.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687736822532,,,30462.8,,30462.8,46.1538,30.8038,-49.0827,0.037338,60.5659,26,11864664.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687737358682,,,30459.4,,30459.4,46.1538,41.9554,-47.972,0.03904,61.688,26,11854756.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687738315726,SELL,49.0,30426.0,30426.0,30426.0,65.3846,52.9789,-37.0472,0.046592,72.3639,26,11903499.0,2023-06-26,67.8684,22.8802,68.2727,63.0319,22.0,145.0,473711.0,251501.0986205811,72.3639,52.9789,67.8684,22.8802,68.2727,63.0319,,,1
control,1687739766405,,,30511.0,,30511.0,80.7692,24.9725,-64.8028,0.063574,43.9931,26,11915621.0,2023-06-26,38.7576,-5.0424,,,22.0,146.0,480827.0,,,,,,,,,,1
control,1687739770476,,,30510.8,,30510.8,69.2308,25.0382,-64.7376,0.054599,44.0587,26,11915668.0,2023-06-26,38.8234,-4.9768,,,22.0,146.0,480827.0,,,,,,,,,,1
control,1687740634558,,,30490.0,,30490.0,73.0769,31.8772,-57.9599,0.057644,50.7949,26,11945202.0,2023-06-26,43.9396,1.8417,,,22.0,148.0,500210.0,,,,,,,,,,1
control,1687740748525,,,30481.7,,30481.7,76.9231,34.6088,-55.2527,0.058329,53.4676,26,11959726.0,2023-06-26,46.6745,4.5651,,,22.0,148.0,500210.0,,,,,,,,,,1
