kind,day,cascade_id,side,direction,start_ms,end_ms,time_ms,profile_ts_ms,bundle_width_ms,bundle_n_events_dedup,bundle_total_qty_accum,bundle_total_notional,p_liq,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,node_up_bp,node_dn_bp,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,p_tgt_back_vwap,p_tgt_back_node,p_tgt_fwd_node,p_tgt_node_up,p_tgt_node_dn,bp_1m,bp_1m_reactdir,bp_1m_abs,bp_5m,bp_5m_reactdir,bp_5m_abs,bp_15m,bp_15m_reactdir,bp_15m_abs,bp_30m,bp_30m_reactdir,bp_30m_abs,bp_60m,bp_60m_reactdir,bp_60m_abs,bp_240m,bp_240m_reactdir,bp_240m_abs,mfe_1m_reactdir,mae_1m_reactdir,mfe_5m_reactdir,mae_5m_reactdir,mfe_15m_reactdir,mae_15m_reactdir,mfe_30m_reactdir,mae_30m_reactdir,mfe_60m_reactdir,mae_60m_reactdir,mfe_240m_reactdir,mae_240m_reactdir,reach_back_vwap_sec,reach_back_vwap_1m,reach_back_vwap_5m,reach_back_vwap_15m,reach_back_vwap_30m,reach_back_vwap_60m,reach_back_vwap_240m,reach_back_node_sec,reach_back_node_1m,reach_back_node_5m,reach_back_node_15m,reach_back_node_30m,reach_back_node_60m,reach_back_node_240m,reach_fwd_node_sec,reach_fwd_node_1m,reach_fwd_node_5m,reach_fwd_node_15m,reach_fwd_node_30m,reach_fwd_node_60m,reach_fwd_node_240m,reach_node_up_sec,reach_node_up_1m,reach_node_up_5m,reach_node_up_15m,reach_node_up_30m,reach_node_up_60m,reach_node_up_240m,reach_node_dn_sec,reach_node_dn_1m,reach_node_dn_5m,reach_node_dn_15m,reach_node_dn_30m,reach_node_dn_60m,reach_node_dn_240m,doi_post_1m,doi_post_1m_n,doi_post_5m,doi_post_5m_n,doi_post_15m,doi_post_15m_n,doi_post_30m,doi_post_30m_n,doi_post_60m,doi_post_60m_n,doi_post_240m,doi_post_240m_n,bf_bp_1m,bf_bp_1m_reactdir,bf_bp_5m,bf_bp_5m_reactdir,bf_bp_15m,bf_bp_15m_reactdir,bf_bp_30m,bf_bp_30m_reactdir,bf_bp_60m,bf_bp_60m_reactdir,bf_bp_240m,bf_bp_240m_reactdir,doi_pre_1h,doi_pre_1h_n,doi_pre_4h,doi_pre_4h_n,doi_in,doi_in_n,m_ts_ms,m_count_long_short_ratio,m_sum_toptrader_long_short_ratio,m_sum_taker_long_short_vol_ratio,bf_anchor_ts_ms,bf_anchor_close,bf_xcorr_best_lag_min,bf_xcorr_best_r,bf_xcorr_n,matched_liq_id
liq,2023-06-29,binance_cm_real_000149,,mixed,1688058479304,1688058658021,1688058658021,1688058479304,178717,3,85.0,2592327.1,30571.1,30571.1,67.6471,25.2849,85.5872,0.039115,-76.7749,34,15231710.0,25.28486601523403,-133.76439502856152,-87.4257,25.2849,,,29.0,136.0,597431.0,,,,,,,,,,1,1688058658021,30487.5,1688058658021,30487.5,0,0.0,30336.3907,30648.3987,,30648.3986,30162.1675,-12.0705,-12.0705,12.0705,-3.0832,-3.0832,3.0832,27.8475,27.8475,27.8475,20.861,20.861,20.861,15.2522,15.2522,15.2522,-37.9828,-37.9828,37.9828,1.3448,-13.2841,1.3448,-20.8282,39.2948,-20.8282,53.3005,-20.8282,53.3005,-20.8282,53.3005,-86.1009,11552.245,0,0,0,0,0,1,1150.339,0,0,0,1,1,1,,,,,,,,1150.339,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,-273.0,1,1901.0,3,290.0,6,3006.0,12,-38711.0,48,-8.0178,-8.0178,-2.8936,-2.8936,30.8496,30.8496,18.61,18.61,30.9892,30.9892,-22.1554,-22.1554,-27112.0,12,-28490.0,48,-6854.0,1,1688058600000,,,1.19895558,1688058600000,4509952.0,0.0,0.9709,20,
liq,2023-06-30,binance_cm_real_000170,,mixed,1688132132823,1688132550483,1688132550483,1688132132823,417660,48,8207.0,249054373.6,30891.0,30891.0,61.1111,-28.828,81.4049,0.034118,-50.1335,36,21269138.0,,-28.82800801172296,-41.8413,11.1165,,,31.0,140.0,754148.0,,,,,,,,,,1,1688132550520,30129.7,1688132550452,30129.8,37,-0.0332,30736.1326,30801.9474,,,30801.9474,32.5592,32.5592,32.5592,-99.0385,-99.0385,99.0385,-69.8314,-69.8314,69.8314,15.1678,15.1678,15.1678,-17.9557,-17.9557,17.9557,168.5048,168.5048,168.5048,32.5592,-5.2772,56.124,-101.4282,56.124,-252.7075,56.124,-252.7075,56.124,-252.7075,196.1852,-252.7075,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,-33794.0,1,-65477.0,3,-100717.0,6,-121159.0,12,-85530.0,48,62.0453,62.0453,-157.9229,-157.9229,-210.2253,-210.2253,-95.7116,-95.7116,-128.5085,-128.5085,23.8704,23.8704,-28810.0,12,-4531.0,48,-84846.0,1,1688132400000,,,0.86642667,1688132520000,4520245.0,0.0,0.7568,20,
liq,2023-06-30,binance_cm_real_000171,,mixed,1688132731664,1688133157405,1688133157405,1688132731664,425741,40,16571.0,492968839.3,30144.5,30144.5,28.2609,96.2747,-63.9008,0.010867,165.3517,46,26925721.0,96.27474781284323,,205.1195,116.4774,,,31.0,138.0,728248.0,,,,,,,,,,1,1688133157405,29939.0,1688133157405,29939.0,0,0.0,30642.9444,30434.7153,,30434.7154,,1.2692,1.2692,1.2692,-18.4375,-18.4375,18.4375,54.5108,54.5108,54.5108,79.1276,79.1276,79.1276,65.8005,65.8005,65.8005,202.0108,202.0108,202.0108,3.9747,-26.4204,10.5214,-50.4025,81.3988,-50.4025,115.4681,-50.4025,115.4681,-50.4025,261.131,-50.4025,12468.746,0,0,0,0,0,1,10673.94,0,0,0,0,0,1,,,,,,,,10673.94,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0,17457.0,1,12973.0,3,-10734.0,6,-29374.0,12,7593.0,48,17.3135,17.3135,-8.3339,-8.3339,103.3708,103.3708,119.4403,119.4403,118.1578,118.1578,203.7003,203.7003,-164246.0,12,-120085.0,48,-49140.0,1,1688133000000,,,0.81496466,1688133120000,4428909.0,0.0,0.8422,20,
liq,2023-06-30,binance_cm_real_000172,,mixed,1688133549448,1688133721227,1688133721227,1688133549448,171779,3,133.0,4001687.2,30085.8,30085.8,38.4615,115.9735,-153.3707,0.010166,146.3908,65,30623733.0,115.97345377035877,,217.7906,136.2155,,,47.0,139.0,745705.0,,,,,,,,,,1,1688133721227,29973.9,1688133721227,29973.9,0,0.0,30526.2284,30434.7156,,30434.7154,,16.5811,16.5811,16.5811,25.4221,25.4221,25.4221,75.8326,75.8326,75.8326,49.1761,49.1761,49.1761,43.638,43.638,43.638,178.6554,178.6554,178.6554,17.2817,-17.8822,49.5097,-17.8822,103.6902,-17.8822,103.6902,-17.8822,103.6902,-17.8822,249.1835,-20.9182,11644.851,0,0,0,0,0,1,10110.118,0,0,0,0,0,1,,,,,,,,10110.118,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0,7806.0,1,-23937.0,3,-42887.0,6,-22900.0,12,-6863.0,48,3.9147,3.9147,38.4606,38.4606,67.4766,67.4766,10.25,10.25,52.0757,52.0757,123.8349,123.8349,-193051.0,12,-150406.0,48,-12290.0,1,1688133600000,,,1.17794437,1688133720000,4457547.0,0.0,0.8085,20,
liq,2023-06-30,binance_cm_real_000177,,mixed,1688136457230,1688136731409,1688136731409,1688136457230,274179,3,193.0,5810122.6,30047.8,30047.8,64.6154,28.0338,-140.9181,0.019735,145.4435,65,33029105.0,28.033831035686987,,226.9483,149.0343,,,47.0,138.0,740467.0,,,,,,,,,,1,1688136731409,30116.8,1688136731409,30116.8,0,0.0,30484.8257,30132.0354,,30132.0355,,4.8146,4.8146,4.8146,-12.9828,-12.9828,12.9828,8.1682,8.1682,8.1682,4.7482,4.7482,4.7482,-28.9539,-28.9539,28.9539,83.5082,83.5082,83.5082,8.0354,-1.959,17.3325,-15.4731,17.3325,-25.1355,24.3386,-25.1355,24.3386,-41.6711,200.5525,-68.2675,7198.373,0,0,0,0,0,1,22.244,1,1,1,1,1,1,,,,,,,,22.244,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0,8500.0,1,15719.0,3,23401.0,6,-2697.0,12,-3983.0,48,8.0335,8.0335,-23.6341,-23.6341,14.0809,14.0809,-3.1063,-3.1063,-32.6628,-32.6628,13.3222,13.3222,-84683.0,12,-168419.0,48,6169.0,1,1688136600000,,,0.7212999,1688136720000,4481240.0,0.0,0.9075,20,
liq,2023-07-02,binance_cm_real_000204,,mixed,1688311386211,1688311528716,1688311528716,1688311386211,142505,20,1271.0,38582687.4,30491.3,30491.3,71.4286,21.4281,51.5224,0.236547,16.7096,7,4612657.0,21.428081210177844,,18.2668,1.4152,,,5.0,157.0,372486.0,,,,,,,,,,1,1688311528716,30337.3,1688311528716,30340.6,0,-1.0877,30542.2497,30556.6371,,30556.637,,20.4369,20.4369,20.4369,23.7332,23.7332,23.7332,60.2229,60.2229,60.2229,44.8293,44.8293,44.8293,90.4497,90.4497,90.4497,62.761,62.761,62.761,20.4369,0.0,40.6101,0.0,61.2118,0.0,61.2118,0.0,120.3469,0.0,120.3469,0.0,2967.452,0,0,0,0,1,1,2976.408,0,0,0,0,1,1,,,,,,,,2976.408,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,0,-14634.0,1,2253.0,3,13942.0,6,12968.0,12,3185.0,48,1.1729,1.1729,12.7702,12.7702,29.9711,29.9711,25.9463,25.9463,56.5262,56.5262,40.4,40.4,19934.0,12,13442.0,48,-12299.0,1,1688311500000,,,0.74569952,1688311500000,4484650.0,0.0,0.9749,20,
liq,2023-07-06,binance_cm_real_000307,,mixed,1688653617961,1688654656672,1688654656672,1688653617961,1038711,40,8985.0,269445846.8,30096.4,30096.4,0.0,112.4106,1.8386,0.001439,220.431,48,27053542.0,112.41059181311512,,,,,,,,,,,,,,,,,,0,1688654656672,30163.0,1688654656672,30163.0,0,0.0,30759.818,30434.7154,,30434.7154,,-1.6577,-1.6577,1.6577,-15.4825,-15.4825,15.4825,-0.5968,-0.5968,0.5968,-14.6206,-14.6206,14.6206,81.9879,81.9879,81.9879,14.1896,14.1896,14.1896,2.7849,-7.3269,2.7849,-39.4192,2.7849,-39.4192,14.6537,-39.4192,83.5792,-39.4192,106.8196,-39.4192,,0,0,0,0,0,0,3649.174,0,0,0,0,0,1,,,,,,,,3649.174,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,-32845.0,1,-32845.0,1,-22980.0,3,-55894.0,6,-97447.0,12,-218493.0,48,3.8435,3.8435,2.6318,2.6318,-15.0373,-15.0373,-42.1086,-42.1086,76.7671,76.7671,14.4944,14.4944,-3720.0,12,-127317.0,48,59939.0,3,1688654400000,,,0.72093299,1688654640000,4605230.0,0.0,0.7848,20,
liq,2023-07-10,binance_cm_real_000385,,mixed,1689019624113,1689019804351,1689019804351,1689019624113,180238,3,114.0,3537283.4,31031.8,31031.7,12.8205,-270.5194,5.6159,0.005805,-235.1869,39,13587783.0,,-270.5193711468393,-250.9578,-251.0507,,,32.0,160.0,898947.0,,,,,,,,,,1,1689019804351,30884.3,1689019804351,30884.3,0,0.0,30301.9727,30192.3296,,,30192.3297,1.1333,1.1333,1.1333,6.7024,6.7024,6.7024,-6.3786,-6.3786,6.3786,-15.7038,-15.7038,15.7038,-45.1038,-45.1038,45.1038,-149.3315,-149.3315,149.3315,4.6626,-2.5579,30.6304,-2.5579,30.6304,-18.8769,30.6304,-18.8769,30.6304,-55.4975,30.6304,-235.168,6472.211,0,0,0,0,0,1,6479.236,0,0,0,0,0,1,,,,,,,,,,,,,,,6479.236,0.0,0.0,0.0,0.0,0.0,1.0,,0,-12951.0,1,5777.0,3,26081.0,6,-32865.0,12,-188300.0,48,15.9988,15.9988,16.1319,16.1319,-3.6032,-3.6032,-1.0096,-1.0096,-35.6705,-35.6705,-85.7072,-85.7072,46960.0,12,132993.0,48,-1229.0,1,1689019800000,,,0.8444115,1689019800000,4734726.0,0.0,0.8101,20,
liq,2023-07-13,binance_cm_real_000456,,mixed,1689263028857,1689263267608,1689263267608,1689263028857,238751,19,7692.0,238872242.0,30915.5,30915.4,0.0,-116.0787,3.1829,0.000544,-133.8832,25,14030638.0,,-116.07866433976845,-141.9925,-116.0787,,,20.0,148.0,690131.0,,,,,,,,,,1,1689263267846,30886.2,1689263267540,30886.2,238,0.0,30501.5934,30556.6369,,,30556.637,14.4725,14.4725,14.4725,43.3851,43.3851,43.3851,-1.0037,-1.0037,1.0037,-0.2914,-0.2914,0.2914,-35.9384,-35.9384,35.9384,235.5745,235.5745,235.5745,23.5704,-3.3348,43.4174,-3.3348,43.4174,-12.109,43.4174,-27.5528,43.4174,-69.9665,312.0487,-69.9665,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,103334.0,1,140930.0,3,190825.0,6,78781.0,12,315041.0,48,9.4735,9.4735,22.9795,22.9795,2.38,2.38,12.543,12.543,-23.9468,-23.9468,218.9661,218.9661,79584.0,12,101681.0,48,41677.0,1,1689263100000,,,1.25287588,1689263220000,4714200.0,0.0,0.6709,20,
liq,2023-07-13,binance_cm_real_000461,,mixed,1689269983134,1689270159443,1689270159443,1689269983134,176309,7,458.0,14246010.7,31029.6,31029.6,29.4118,-33.6001,36.3743,0.01355,-120.3342,34,19166058.0,,-33.60013504015624,-129.1806,-3.671,,,26.0,155.0,959997.0,,,,,,,,,,1,1689270159443,30982.2,1689270159443,30982.2,0,0.0,30656.2078,30925.3402,,,30925.3401,15.0409,15.0409,15.0409,44.9936,44.9936,44.9936,40.1521,40.1521,40.1521,138.2084,138.2084,138.2084,84.8552,84.8552,84.8552,90.3745,90.3745,90.3745,18.9464,-5.8743,73.4938,-5.8743,73.4938,-5.8743,144.9542,-5.8743,163.9974,-5.8743,280.0963,-73.752,,0,0,0,0,0,0,12434.655,0,0,0,0,0,1,,,,,,,,,,,,,,,12434.655,0.0,0.0,0.0,0.0,0.0,1.0,,0,19092.0,1,45849.0,3,5720.0,6,-8147.0,12,-43295.0,48,6.2199,6.2199,18.0973,18.0973,23.1607,23.1607,49.0296,49.0296,42.5518,42.5518,69.3404,69.3404,59052.0,12,293369.0,48,14476.0,1,1689270000000,,,1.30696611,1689270120000,4730000.0,0.0,0.785,20,
